n_features,features,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std
5,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_in, avg_wind_mph",0.8481226804084032,0.015449761082705177,0.03343637281857496,0.0014770122139162285
5,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_in, temp_5day_avg_f",0.8479019594373114,0.015501814970160363,0.03346040037205768,0.001476487698234937
5,"max_temp_f, min_temp_f, precip_in, precip_5day_sum_in, previous_irrigation_amount",0.8476187515976719,0.013004564037860203,0.0335112681912056,0.0011647413965648254
5,"max_temp_f, min_temp_f, precip_in, precip_3day_sum_in, previous_irrigation_amount",0.8475041978969386,0.012088808619015895,0.03352964271689486,0.001067881323969218
5,"max_temp_f, min_temp_f, mean_humidity_pct, previous_irrigation_amount, day_of_year",0.8471620037200254,0.015332566553951156,0.03354490883467545,0.0014573740952219666
5,"max_temp_f, min_temp_f, mean_humidity_pct, previous_irrigation_amount, month",0.8471031765648469,0.015183493634067095,0.03355252162971361,0.0014393816403404545
5,"max_temp_f, min_temp_f, precip_in, avg_wind_mph, previous_irrigation_amount",0.8469871339197701,0.012551796673498,0.03358327635425304,0.0011057789625231016
5,"max_temp_f, mean_humidity_pct, precip_in, previous_irrigation_amount, day_of_year",0.8468158190850638,0.015231397671916076,0.03358463303818634,0.0014534179629092973
5,"max_temp_f, mean_humidity_pct, precip_in, precip_5day_sum_in, previous_irrigation_amount",0.8468079226811422,0.016365900405674635,0.033578837144156916,0.0015940594995941043
5,"max_temp_f, min_temp_f, precip_in, days_since_rain, previous_irrigation_amount",0.8467555194064893,0.011211989600462175,0.03361623483754789,0.00097525378441247
5,"max_temp_f, mean_humidity_pct, precip_in, previous_irrigation_amount, month",0.8467395594196724,0.015053885452847287,0.033594403418619176,0.0014324821893040647
5,"max_temp_f, min_temp_f, mean_humidity_pct, max_wind_mph, previous_irrigation_amount",0.8465108383175706,0.016253110824654565,0.03361035966406841,0.0015842339401101941
5,"max_temp_f, min_temp_f, precip_in, previous_irrigation_amount, day_of_year",0.8461647613741032,0.011921647839943516,0.033676772994423405,0.0010348469595427272
5,"max_temp_f, min_temp_f, precip_in, previous_irrigation_amount, month",0.846155003798261,0.011867654732630422,0.03367821467701738,0.0010299978331438555
5,"max_temp_f, mean_humidity_pct, precip_in, precip_3day_sum_in, previous_irrigation_amount",0.8460564590216076,0.01569646453662906,0.03366687066249123,0.0015123649311319922
5,"max_temp_f, mean_humidity_pct, precip_in, temp_3day_avg_f, previous_irrigation_amount",0.8459961393246985,0.015524075298440123,0.033673713232722766,0.0014617007615465635
5,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_3day_sum_in, day_of_year",0.8458415960290722,0.01749686155683628,0.033672430430037606,0.00170614558818832
5,"max_temp_f, min_temp_f, mean_humidity_pct, previous_irrigation_amount, days_since_irrigation",0.8458257557075319,0.015585952683553256,0.033690856936934445,0.001489186011487985
